symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type,entry_date,entry_time,exit_date,exit_time,breakeven_point,avg_buy_price,avg_sell_price,net_pnl,status,roi
LAURUSLABS,2022-03-14,NSE,EQ,sell,380.0,588.75,1200000002590043,09:42:10,,,,cash,2022-03-14,09:07:29,2022-03-14,09:42:10,2,588.75,583.65,1938.0,0,0.0087
LAURUSLABS,2022-08-05,NSE,EQ,sell,856.0,550.85,1200000000492599,09:23:30,,,,cash,2022-08-05,09:07:55,2022-08-05,09:23:30,2,550.85,546.55,3680.8,0,0.0079
CUMMINSIND,2022-03-15,NSE,EQ,sell,380.0,1050.0,1000000002357203,09:32:47,,,,cash,2022-03-15,09:17:50,2022-03-15,09:32:47,3,1050.0,1035.221052631579,5616.0,0,0.0143
CUMMINSIND,2022-03-22,NSE,EQ,sell,220.0,1045.5,1000000000545653,09:18:16,,,,cash,2022-03-22,09:07:12,2022-03-22,09:18:16,2,1045.5,1059.3,-3036.0,1,-0.013
CUMMINSIND,2022-03-29,NSE,EQ,sell,360.0,1102.6,1000000001316260,09:23:57,,,,cash,2022-03-29,09:07:21,2022-03-29,09:23:57,2,1102.6,1114.95,-4446.0,1,-0.0111
CUMMINSIND,2022-10-31,NSE,EQ,sell,460.0,1318.0,1000000001589774,09:29:12,,,,cash,2022-10-31,09:07:19,2022-10-31,09:29:12,2,1318.0,1300.7,7958.0,0,0.0133
SRF,2022-03-16,NSE,EQ,sell,180.0,2442.0,1300000000945163,09:19:46,,,,cash,2022-03-16,09:07:53,2022-03-16,09:19:46,3,2442.0,2477.3,-6354.0,1,-0.0142
SRF,2022-05-04,NSE,EQ,buy,100.0,2500.0,1300000001044639,09:19:28,,,,cash,2022-05-04,09:16:33,2022-05-04,09:19:28,2,2504.8,2500.0,480.0,0,-0.0019
SRF,2022-08-30,NSE,EQ,sell,26.0,2538.0,1300000013926872,12:59:20,,,,cash,2022-08-30,12:53:36,2022-08-30,12:59:20,4,2538.0,2539.9076923076927,-49.6,1,-0.0008
SRF,2022-09-13,NSE,EQ,sell,10.0,2820.6,1300000021705486,15:20:55,,,,cash,2022-09-13,11:44:15,2022-09-13,15:20:55,4,2820.6,2840.52,-199.2,1,-0.007
VOLTAS,2022-03-16,NSE,EQ,sell,200.0,1288.1,1300000009470576,11:56:45,,,,cash,2022-03-16,11:33:11,2022-03-16,11:56:45,2,1288.1,1282.05,1210.0,0,0.0047
VOLTAS,2022-03-17,NSE,EQ,sell,160.0,1315.0,1300000002375060,09:31:46,,,,cash,2022-03-17,09:07:59,2022-03-17,09:31:46,2,1315.0,1303.0,1920.0,0,0.0092
HAL,2022-03-17,NSE,EQ,sell,160.0,1464.0,1100000001699868,11:19:53,,,,cash,2022-03-17,09:07:59,2022-03-17,11:19:53,2,1464.0,1486.0,-3520.0,1,-0.0148
HAL,2022-04-01,NSE,EQ,sell,400.0,1525.0,1100000002608497,09:37:30,,,,cash,2022-04-01,09:07:42,2022-04-01,09:37:30,2,1525.0,1492.0,13200.0,0,0.0221
HAL,2022-04-04,NSE,EQ,sell,500.0,1575.65,1100000013706437,11:51:09,,,,cash,2022-04-04,11:43:18,2022-04-04,11:51:09,2,1575.65,1565.0,5325.0,0,0.0068
HAL,2022-08-19,NSE,EQ,buy,100.0,2284.0,1100000001046948,09:30:25,,,,cash,2022-08-19,09:19:41,2022-08-19,09:30:25,2,2294.0,2284.0,1000.0,0,-0.0044
HAL,2022-11-03,NSE,EQ,sell,10.0,2527.0,1100000008189323,10:47:32,,,,cash,2022-11-03,10:28:07,2022-11-03,10:47:32,2,2527.0,2545.0,-180.0,1,-0.0071
TRENT,2022-03-21,NSE,EQ,sell,200.0,1262.5,1300000000924865,09:18:41,,,,cash,2022-03-21,09:07:30,2022-03-21,09:18:41,3,1262.5,1282.0,-3900.0,1,-0.0152
TRENT,2022-08-12,NSE,EQ,sell,760.0,1334.95,1300000000220017,09:18:58,,,,cash,2022-08-12,09:07:08,2022-08-12,09:18:58,2,1334.95,1347.0,-9158.0,1,-0.0089
TRENT,2022-08-16,NSE,EQ,sell,380.0,1400.0,1300000000637574,09:16:32,,,,cash,2022-08-16,09:07:12,2022-08-16,09:16:32,2,1400.0,1390.6,3572.0,0,0.0068
TRENT,2022-08-16,NSE,EQ,buy,110.0,1426.0,1300000007108791,11:13:24,,,,cash,2022-08-16,10:17:09,2022-08-16,11:13:24,2,1435.0,1426.0,990.0,0,-0.0063
TRENT,2022-09-13,NSE,EQ,sell,70.0,1436.85,1300000011367722,11:46:10,,,,cash,2022-09-13,10:36:20,2022-09-13,11:46:10,3,1437.6642857142858,1437.45,15.0,0,0.0001
CHAMBLFERT,2022-03-22,NSE,EQ,sell,740.0,428.8,1000000010636863,12:21:47,,,,cash,2022-03-22,09:15:36,2022-03-22,12:21:47,4,429.15135135135137,435.44594594594594,-4658.0,1,-0.0145
CHAMBLFERT,2022-03-30,NSE,EQ,sell,886.0,423.5,1000000001860222,10:18:47,,,,cash,2022-03-30,09:07:18,2022-03-30,10:18:47,3,423.5024830699774,428.05,-4029.1,1,-0.0106
CHAMBLFERT,2022-04-18,NSE,EQ,sell,2000.0,480.0,1000000001964275,10:42:06,,,,cash,2022-04-18,09:07:03,2022-04-18,10:42:06,3,480.0,475.26,9480.0,0,0.01
RAIN,2022-03-23,NSE,EQ,sell,1232.0,193.65,1300000001611389,09:25:11,,,,cash,2022-03-23,09:07:43,2022-03-23,09:25:11,3,193.65,195.3896103896104,-2143.2,1,-0.0089
RAIN,2022-03-28,NSE,EQ,sell,1600.0,202.85,1300000001195636,09:22:49,,,,cash,2022-03-28,09:07:04,2022-03-28,09:22:49,3,202.85,204.8,-3120.0,1,-0.0095
RAIN,2022-07-25,NSE,EQ,sell,1400.0,162.35,1300000002207193,09:36:14,,,,cash,2022-07-25,09:07:20,2022-07-25,09:36:14,2,162.35,162.05,420.0,0,0.0019
RAIN,2022-08-01,NSE,EQ,sell,1800.0,181.0,1300000001397310,09:20:39,,,,cash,2022-08-01,09:07:51,2022-08-01,09:20:39,2,181.0,182.8,-3240.0,1,-0.0098
ALKEM,2022-03-24,NSE,EQ,sell,70.0,3606.0,1000000000590853,09:18:28,,,,cash,2022-03-24,09:15:55,2022-03-24,09:18:28,2,3606.0,3665.0,-4130.0,1,-0.0161
