symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type
TORNTPOWER,2022-04-13,NSE,EQ,sell,285.0,548.5,1300000000034437,09:07:04,,,,cash
TORNTPOWER,2022-04-13,NSE,EQ,buy,285.0,560.3,1300000004537007,10:18:27,,,,cash
PIDILITIND,2022-04-13,NSE,EQ,sell,50.0,2369.0,1200000013465595,12:53:44,,,,cash
PIDILITIND,2022-04-13,NSE,EQ,buy,50.0,2368.35,1200000013551699,15:10:39,,,,cash
CHAMBLFERT,2022-04-18,NSE,EQ,sell,600.0,475.0,1000000000037227,09:07:03,,,,cash
CHAMBLFERT,2022-04-18,NSE,EQ,sell,400.0,475.65,1000000001023438,09:20:43,,,,cash
CHAMBLFERT,2022-04-18,NSE,EQ,buy,1000.0,480.0,1000000001964275,10:42:06,,,,cash
TORNTPOWER,2022-04-19,NSE,EQ,sell,700.0,571.2,1300000000068553,09:07:32,,,,cash
TORNTPOWER,2022-04-19,NSE,EQ,sell,50.0,571.25,1300000000371934,09:15:48,,,,cash
TORNTPOWER,2022-04-19,NSE,EQ,buy,700.0,567.1,1300000000316577,09:21:12,,,,cash
TORNTPOWER,2022-04-19,NSE,EQ,buy,50.0,566.4,1300000003214928,09:37:15,,,,cash
HINDCOPPER,2022-04-20,NSE,EQ,sell,2500.0,125.5,1100000000062282,09:07:08,,,,cash
HINDCOPPER,2022-04-20,NSE,EQ,sell,800.0,125.7,1100000000998191,09:19:16,,,,cash
HINDCOPPER,2022-04-20,NSE,EQ,buy,3300.0,124.55,1100000001339815,09:42:58,,,,cash
EICHERMOT,2022-04-21,NSE,EQ,sell,75.0,2557.9,1100000001876457,09:29:11,,,,cash
EICHERMOT,2022-04-21,NSE,EQ,sell,50.0,2558.0,1100000002208566,09:32:36,,,,cash
EICHERMOT,2022-04-21,NSE,EQ,buy,125.0,2565.5,1100000004606104,11:06:30,,,,cash
POLYCAB,2022-04-22,NSE,EQ,sell,60.0,2758.8,1200000000016357,09:07:55,,,,cash
POLYCAB,2022-04-22,NSE,EQ,buy,60.0,2715.0,1200000014170727,13:43:17,,,,cash
COLPAL,2022-04-25,NSE,EQ,sell,80.0,1602.4,1000000000042100,09:16:41,,,,cash
COLPAL,2022-04-25,NSE,EQ,sell,40.0,1597.0,1000000001123037,09:20:32,,,,cash
COLPAL,2022-04-25,NSE,EQ,sell,50.0,1607.5,1000000002262103,09:30:17,,,,cash
COLPAL,2022-04-25,NSE,EQ,sell,40.0,1607.5,1000000013003270,12:34:53,,,,cash
COLPAL,2022-04-25,NSE,EQ,buy,170.0,1616.45,1000000002557435,13:16:35,,,,cash
COLPAL,2022-04-25,NSE,EQ,buy,40.0,1616.6,1000000015029772,13:16:56,,,,cash
INDIAMART,2022-04-26,NSE,EQ,sell,16.0,4975.0,1100000004216646,10:02:10,,,,cash
INDIAMART,2022-04-26,NSE,EQ,buy,16.0,4950.0,1100000004385698,10:05:39,,,,cash
INDIAMART,2022-04-26,NSE,EQ,sell,10.0,4963.95,1100000004556574,10:08:57,,,,cash
INDIAMART,2022-04-26,NSE,EQ,buy,10.0,5002.4,1100000004625100,14:57:07,,,,cash
INDIAMART,2022-04-27,NSE,EQ,sell,60.0,5027.0,1100000000927232,09:19:35,,,,cash
INDIAMART,2022-04-27,NSE,EQ,buy,60.0,5008.1,1100000002637123,09:34:56,,,,cash
LALPATHLAB,2022-04-28,NSE,EQ,sell,60.0,2809.0,1200000000014408,09:15:46,,,,cash
LALPATHLAB,2022-04-28,NSE,EQ,buy,60.0,2775.0,1200000000873409,09:19:47,,,,cash
MFSL,2022-04-29,NSE,EQ,sell,350.0,766.35,1200000000034305,09:07:14,,,,cash
NTPC,2022-04-29,NSE,EQ,sell,1300.0,160.4,1200000000034281,09:07:14,,,,cash
MFSL,2022-04-29,NSE,EQ,buy,350.0,772.15,1200000001135990,10:22:16,,,,cash
TATAMOTORS,2022-04-29,BSE,EQ,sell,40.0,439.3,1651203000046975856,10:33:00,,,,cash
NTPC,2022-04-29,NSE,EQ,buy,1300.0,155.95,1200000019823548,15:20:52,,,,cash
WIPRO,2022-05-02,NSE,EQ,buy,270.0,493.95,1300000019521541,14:36:29,,,,cash
WIPRO,2022-05-02,NSE,EQ,sell,270.0,494.9,1300000019575728,15:18:05,,,,cash
PIDILITIND,2022-05-04,NSE,EQ,buy,45.0,2413.0,1200000000033635,09:07:04,,,,cash
PIDILITIND,2022-05-04,NSE,EQ,sell,45.0,2395.05,1200000000393070,09:16:24,,,,cash
SRF,2022-05-04,NSE,EQ,buy,50.0,2504.8,1300000000057845,09:16:33,,,,cash
SRF,2022-05-04,NSE,EQ,sell,50.0,2500.0,1300000001044639,09:19:28,,,,cash
IPCALAB,2022-05-04,NSE,EQ,sell,100.0,1024.4,1100000001423763,09:23:49,,,,cash
IPCALAB,2022-05-04,NSE,EQ,buy,100.0,1028.3,1100000001469231,09:27:49,,,,cash
PETRONET,2022-05-05,NSE,EQ,sell,1000.0,216.75,1200000001459815,09:25:21,,,,cash
PETRONET,2022-05-05,NSE,EQ,buy,1000.0,218.9,1200000001532163,10:46:03,,,,cash
ABB,2022-05-10,NSE,EQ,sell,88.0,2306.0,1000000000035391,09:15:34,,,,cash
ABB,2022-05-10,NSE,EQ,buy,88.0,2224.7,1000000000757209,09:18:51,,,,cash
GNFC,2022-05-11,NSE,EQ,sell,190.0,838.0,1100000000025602,09:07:45,,,,cash
GNFC,2022-05-11,NSE,EQ,buy,190.0,737.0,1100000013721563,12:06:15,,,,cash
COROMANDEL,2022-05-12,NSE,EQ,sell,380.0,901.25,1000000000039154,09:07:36,,,,cash
COROMANDEL,2022-05-12,NSE,EQ,buy,380.0,883.5,1000000005540213,10:08:45,,,,cash
SUNPHARMA,2022-05-16,NSE,EQ,sell,230.0,882.5,1300000000052732,09:18:35,,,,cash
SUNPHARMA,2022-05-16,NSE,EQ,buy,230.0,891.8,1300000003007156,09:41:56,,,,cash
SUNPHARMA,2022-05-16,NSE,EQ,sell,100.0,887.5,1300000003804253,09:47:49,,,,cash
SUNPHARMA,2022-05-16,NSE,EQ,buy,100.0,893.8,1300000003887774,10:21:58,,,,cash
HONAUT,2022-05-17,NSE,EQ,sell,10.0,32500.0,1100000000038000,09:07:30,,,,cash
OFSS,2022-05-17,NSE,EQ,buy,30.0,3160.5,1200000000043893,09:29:26,,,,cash
