,symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type
90,ALKEM,2022-03-24,NSE,EQ,sell,35.0,3665.0,1000000000027667,2022-03-24T09:15:55,,,,cash
91,WHIRLPOOL,2022-03-24,NSE,EQ,sell,70.0,1647.0,1300000000055132,2022-03-24T09:16:53,,,,cash
92,ALKEM,2022-03-24,NSE,EQ,buy,35.0,3606.0,1000000000590853,2022-03-24T09:18:28,,,,cash
93,WHIRLPOOL,2022-03-24,NSE,EQ,buy,70.0,1638.8,1300000002372557,2022-03-24T09:34:36,,,,cash
94,FSL,2022-03-25,NSE,EQ,sell,600.0,135.5,1100000000030556,2022-03-25T09:07:06,,,,cash
95,FSL,2022-03-25,NSE,EQ,buy,600.0,133.8,1100000001303282,2022-03-25T09:22:42,,,,cash
96,RAIN,2022-03-28,NSE,EQ,sell,600.0,204.65,1300000000052229,2022-03-28T09:07:04,,,,cash
97,ATUL,2022-03-28,NSE,EQ,sell,3.0,10130.0,1000000000033506,2022-03-28T09:15:06,,,,cash
98,RAIN,2022-03-28,NSE,EQ,sell,200.0,205.25,1300000000767694,2022-03-28T09:18:51,,,,cash
99,ATUL,2022-03-28,NSE,EQ,buy,1.0,10011.75,1000000000727236,2022-03-28T09:19:04,,,,cash
100,RAIN,2022-03-28,NSE,EQ,buy,800.0,202.85,1300000001195636,2022-03-28T09:22:49,,,,cash
101,ATUL,2022-03-28,NSE,EQ,buy,2.0,10008.0,1000000001210795,2022-03-28T09:23:12,,,,cash
102,CUMMINSIND,2022-03-29,NSE,EQ,sell,180.0,1114.95,1000000000024909,2022-03-29T09:07:21,,,,cash
103,CUMMINSIND,2022-03-29,NSE,EQ,buy,180.0,1102.6,1000000001316260,2022-03-29T09:23:57,,,,cash
104,ACC,2022-03-30,NSE,EQ,sell,30.0,2140.0,1000000000030851,2022-03-30T09:07:18,,,,cash
105,CHAMBLFERT,2022-03-30,NSE,EQ,sell,443.0,428.05,1000000000030826,2022-03-30T09:07:18,,,,cash
106,IPCALAB,2022-03-30,NSE,EQ,sell,170.0,1064.85,1100000000039469,2022-03-30T09:07:18,,,,cash
107,IPCALAB,2022-03-30,NSE,EQ,buy,1.0,1055.0,1100000000928086,2022-03-30T09:24:21,,,,cash
108,IPCALAB,2022-03-30,NSE,EQ,buy,169.0,1053.1,1100000001650820,2022-03-30T09:26:17,,,,cash
109,CHAMBLFERT,2022-03-30,NSE,EQ,buy,1.0,424.6,1000000000875605,2022-03-30T09:27:28,,,,cash
110,ACC,2022-03-30,NSE,EQ,buy,1.0,2166.65,1000000001241179,2022-03-30T09:35:22,,,,cash
111,CHAMBLFERT,2022-03-30,NSE,EQ,buy,442.0,423.5,1000000001860222,2022-03-30T10:18:47,,,,cash
112,ACC,2022-03-30,NSE,EQ,buy,29.0,2172.65,1000000002455648,2022-03-30T10:46:18,,,,cash
113,TATACOMM,2022-03-31,NSE,EQ,sell,140.0,1223.0,1300000010276617,2022-03-31T11:58:01,,,,cash
114,TATACOMM,2022-03-31,NSE,EQ,buy,30.0,1224.9,1300000010310836,2022-03-31T11:58:43,,,,cash
115,TATACOMM,2022-03-31,NSE,EQ,buy,110.0,1226.5,1300000010417755,2022-03-31T12:16:12,,,,cash
116,HAL,2022-04-01,NSE,EQ,sell,200.0,1492.0,1100000000042302,2022-04-01T09:07:42,,,,cash
117,PAGEIND,2022-04-01,NSE,EQ,sell,2.0,43189.4,1200000000034142,2022-04-01T09:15:01,,,,cash
118,PAGEIND,2022-04-01,NSE,EQ,sell,1.0,43189.4,1200000000039016,2022-04-01T09:15:01,,,,cash
119,INTELLECT,2022-04-01,NSE,EQ,sell,10.0,945.8,1100000000051393,2022-04-01T09:15:02,,,,cash
120,INTELLECT,2022-04-01,NSE,EQ,buy,10.0,931.7,1100000000495001,2022-04-01T09:16:50,,,,cash
121,MARICO,2022-04-01,NSE,EQ,sell,20.0,507.8,1200000000676566,2022-04-01T09:19:08,,,,cash
122,MARICO,2022-04-01,NSE,EQ,buy,20.0,508.25,1200000001242851,2022-04-01T09:23:38,,,,cash
123,HAL,2022-04-01,NSE,EQ,buy,200.0,1525.0,1100000002608497,2022-04-01T09:37:30,,,,cash
124,PAGEIND,2022-04-01,NSE,EQ,sell,2.0,43010.65,1200000002707013,2022-04-01T09:39:52,,,,cash
125,PAGEIND,2022-04-01,NSE,EQ,buy,2.0,42916.0,1200000008178575,2022-04-01T11:16:30,,,,cash
126,ROUTE,2022-04-01,NSE,EQ,sell,10.0,1563.0,1300000014277127,2022-04-01T13:38:52,,,,cash
127,PAGEIND,2022-04-01,NSE,EQ,buy,3.0,43224.9,1200000008910727,2022-04-01T15:17:31,,,,cash
128,INDIACEM,2022-04-04,NSE,EQ,sell,200.0,220.75,1100000000076910,2022-04-04T09:07:41,,,,cash
129,INDIACEM,2022-04-04,NSE,EQ,sell,320.0,220.25,1100000001105891,2022-04-04T09:18:58,,,,cash
130,INDIACEM,2022-04-04,NSE,EQ,buy,520.0,218.8,1100000002106322,2022-04-04T09:31:01,,,,cash
131,HAL,2022-04-04,NSE,EQ,sell,250.0,1565.0,1100000013516033,2022-04-04T11:43:18,,,,cash
132,HAL,2022-04-04,NSE,EQ,buy,250.0,1575.65,1100000013706437,2022-04-04T11:51:09,,,,cash
133,ADANIPORTS,2022-04-05,NSE,EQ,sell,283.0,840.0,1000000000029547,2022-04-05T09:07:04,,,,cash
134,GSPL,2022-04-05,NSE,EQ,sell,842.0,278.0,1100000000036868,2022-04-05T09:07:04,,,,cash
135,GSPL,2022-04-05,NSE,EQ,buy,233.0,275.45,1100000000367396,2022-04-05T09:22:37,,,,cash
136,ADANIPORTS,2022-04-05,NSE,EQ,sell,100.0,840.0,1000000001983309,2022-04-05T09:29:17,,,,cash
137,ADANIPORTS,2022-04-05,NSE,EQ,buy,283.0,832.0,1000000000309658,2022-04-05T09:38:28,,,,cash
138,ADANIPORTS,2022-04-05,NSE,EQ,buy,100.0,832.5,1000000002885442,2022-04-05T09:39:08,,,,cash
139,GSPL,2022-04-05,NSE,EQ,sell,350.0,280.5,1100000003827815,2022-04-05T09:41:12,,,,cash
140,GSPL,2022-04-05,NSE,EQ,buy,959.0,281.1,1100000003979096,2022-04-05T09:42:59,,,,cash
141,INDIAMART,2022-04-06,NSE,EQ,sell,47.0,5069.8,1100000000058044,2022-04-06T09:07:26,,,,cash
142,INDIAMART,2022-04-06,NSE,EQ,buy,47.0,5019.6,1100000000261373,2022-04-06T09:15:38,,,,cash
143,TATACOMM,2022-04-08,NSE,EQ,sell,100.0,1360.0,1300000000071500,2022-04-08T09:07:13,,,,cash
144,TATACOMM,2022-04-08,NSE,EQ,sell,200.0,1360.0,1300000000067084,2022-04-08T09:07:13,,,,cash
145,TATACOMM,2022-04-08,NSE,EQ,buy,300.0,1344.7,1300000000492431,2022-04-08T09:15:45,,,,cash
146,AMBUJACEM,2022-04-11,NSE,EQ,sell,400.0,338.45,1000000000038343,2022-04-11T09:07:32,,,,cash
147,SYNGENE,2022-04-11,NSE,EQ,sell,545.0,654.8,1300000000066976,2022-04-11T09:07:32,,,,cash
148,SYNGENE,2022-04-11,NSE,EQ,buy,100.0,675.45,1300000001788247,2022-04-11T09:24:11,,,,cash
149,AMBUJACEM,2022-04-11,NSE,EQ,buy,400.0,345.5,1000000001899535,2022-04-11T09:28:55,,,,cash
150,SYNGENE,2022-04-11,NSE,EQ,buy,445.0,665.0,1300000020984871,2022-04-11T15:20:58,,,,cash
151,OBEROIRLTY,2022-04-12,NSE,EQ,sell,140.0,1003.5,1200000000085201,2022-04-12T09:07:35,,,,cash
152,AMBUJACEM,2022-04-12,NSE,EQ,sell,870.0,364.25,1000000000010265,2022-04-12T09:15:00,,,,cash
153,OBEROIRLTY,2022-04-12,NSE,EQ,buy,1.0,993.7,1200000000757633,2022-04-12T09:21:45,,,,cash
154,OBEROIRLTY,2022-04-12,NSE,EQ,buy,139.0,990.8,1200000001277424,2022-04-12T09:22:33,,,,cash
155,AMBUJACEM,2022-04-12,NSE,EQ,buy,870.0,359.9,1000000002141677,2022-04-12T09:34:59,,,,cash
156,TORNTPOWER,2022-04-13,NSE,EQ,sell,285.0,548.5,1300000000034437,2022-04-13T09:07:04,,,,cash
157,TORNTPOWER,2022-04-13,NSE,EQ,buy,285.0,560.3,1300000004537007,2022-04-13T10:18:27,,,,cash
158,PIDILITIND,2022-04-13,NSE,EQ,sell,50.0,2369.0,1200000013465595,2022-04-13T12:53:44,,,,cash
159,PIDILITIND,2022-04-13,NSE,EQ,buy,50.0,2368.35,1200000013551699,2022-04-13T15:10:39,,,,cash
160,CHAMBLFERT,2022-04-18,NSE,EQ,sell,600.0,475.0,1000000000037227,2022-04-18T09:07:03,,,,cash
161,CHAMBLFERT,2022-04-18,NSE,EQ,sell,400.0,475.65,1000000001023438,2022-04-18T09:20:43,,,,cash
162,CHAMBLFERT,2022-04-18,NSE,EQ,buy,1000.0,480.0,1000000001964275,2022-04-18T10:42:06,,,,cash
163,TORNTPOWER,2022-04-19,NSE,EQ,sell,700.0,571.2,1300000000068553,2022-04-19T09:07:32,,,,cash
