symbol,tradeDate,exchange,quantity,price,executionTime,strikePrice,expiryDate,optionsType,tradeType,assetType,id,tradeId
AARTIIND,2022-07-22,NSE,1,767.05,12:06:04,,,,buy,cash,0b0e987f5b6b457aba7cd3800b91dfa7,23de0eab17691cf3653909638a55f372
RAIN,2022-07-25,NSE,700,162.05,09:07:20,,,,sell,cash,946bc16273da9c0c4db6635aa0c6e846,75e5db21c46a1dff0bde7df2398d3435
RAMCOCEM,2022-07-25,NSE,444,700.0,09:07:20,,,,sell,cash,11ad887f9627a91a36bc7796f5348723,9b40e79e9f08273c88577824e31c7865
GSPL,2022-07-25,NSE,450,239.69999999999996,09:15:00,,,,sell,cash,eefc37471ae78971df764a9b31234f31,daf04d31661731a4066c4b21361e7ee8
RAMCOCEM,2022-07-25,NSE,444,692.4,09:15:29,,,,buy,cash,3f687cd91e6a92a0ddf677c2f1cac09f,9b40e79e9f08273c88577824e31c7865
GSPL,2022-07-25,NSE,450,237.24777777777777,09:17:26,,,,buy,cash,3ffa955c79c01f5471c8e4e9756c004e,daf04d31661731a4066c4b21361e7ee8
RAIN,2022-07-25,NSE,700,162.35,09:36:14,,,,buy,cash,ff0e76e44f6b0599de2dc3ab09e4629c,75e5db21c46a1dff0bde7df2398d3435
DELTACORP,2022-07-26,NSE,400,193.638125,10:18:19,,,,sell,cash,a7a3bd12932c617d02cc67d9554fbdd2,61667b86e2876c93033f7c37ed42890d
DELTACORP,2022-07-26,NSE,400,192.568375,10:47:35,,,,buy,cash,4a58bec27037b00de381dbfb75758821,61667b86e2876c93033f7c37ed42890d
SPANDANA,2022-07-28,NSE,200,445.67175,10:11:34,,,,buy,cash,adc8ffc4c4b9e306dddd35cdc0cad93d,388e67b07880539f818e9ad2355a9e4d
SPANDANA,2022-07-28,NSE,200,442.0,10:20:56,,,,sell,cash,0ea2af7c5355071212a897f5e343c720,388e67b07880539f818e9ad2355a9e4d
BHARATFORG,2022-07-29,NSE,380,737.2,09:07:23,,,,sell,cash,099b9677d7391b6329c80b0c13e3f094,0ec38fc407f647304879d39ec9552b47
POLYCAB,2022-07-29,NSE,120,2294.0,09:07:23,,,,sell,cash,195705d643aa1de383113e6263a7ef0c,2506936c61171be87756ad372b2bcdcf
POLYCAB,2022-07-29,NSE,120,2320.6,09:27:15,,,,buy,cash,87e270851634839a2d0c5c0a3e4ccc91,2506936c61171be87756ad372b2bcdcf
BHARATFORG,2022-07-29,NSE,380,739.3,09:36:21,,,,buy,cash,a6569d0f3812d242de5a1436fde8f976,0ec38fc407f647304879d39ec9552b47
BHARATFORG,2022-07-29,NSE,1,735.0,13:51:57,,,,buy,cash,35d9701422f6a600339521feb174efdb,8878aead65618275cf001013a2ec686b
BHARATFORG,2022-07-29,NSE,1,735.35,13:52:47,,,,sell,cash,d585af315b5f03779589fc74266a715d,8878aead65618275cf001013a2ec686b
BATAINDIA,2022-08-01,NSE,90,1977.9500000000003,09:07:51,,,,sell,cash,4bbc5f2ba5c76b77af3fc2cf34b42d21,f87eafb1eb777f6946b7cc390067689f
RAIN,2022-08-01,NSE,900,182.8,09:07:51,,,,sell,cash,6ca93aa0e4f1ad841df9fd5a3ae3c98f,f250e7d65bc1de5908c53ac06a52881e
