symbol,exchange,quantity,strikePrice,expiryDate,optionsType,tradeType,assetType,id,entryPrice,entryDate,entryTime,exitPrice,exitDate,exitTime,breakeven,avgBuyPrice,avgSellPrice,isOpen,stoploss,target,note,setup,tradeId
DALBHARAT,NSE,333,,,,sell,cash,08c44aeb4bd54a118b104b8282f9a39d,1272.0,2022-06-09,09:29:59,1279.0,2022-06-09,09:43:22,2,1279.0,1272.0,0,0,0,,,
DALBHARAT,NSE,10,,,,sell,cash,b05c819136eff95a6b1263bbb9d0dc5a,1634.05,2022-09-08,12:00:01,1634.9,2022-09-08,12:02:47,2,1634.9,1634.05,0,0,0,,,
DALBHARAT,NSE,300,,,,sell,cash,241225f995839481d2768a1b088ac3a6,1654.0,2022-09-09,09:07:03,1666.98,2022-09-09,09:24:38,2,1666.98,1654.0,0,0,0,,,
DALBHARAT,NSE,15,,,,buy,cash,0c69085972df3c4c8926dab7c881efb8,1749.9,2022-09-14,12:34:05,1753.67,2022-09-14,13:14:05,4,1749.9,1753.67,0,0,0,,,
BAJAJ-AUTO,NSE,125,,,,sell,cash,2170b7aa09d96da9807f8c40c988f637,3800.8,2022-06-24,09:07:05,3830.0,2022-06-24,09:35:14,2,3830.0,3800.8,0,0,0,,,
BAJAJ-AUTO,NSE,65,,,,sell,cash,e5487fd2a7783b7c0f631781595f6f89,3632.66,2022-10-12,11:43:17,3617.7,2022-10-12,13:49:44,5,3617.7,3632.66,0,0,0,,,
MCX,NSE,100,,,,sell,cash,9c0cbce6931e4d61f4305dd5d488fd5e,1314.02,2022-07-01,09:29:14,1298.62,2022-07-01,10:05:34,2,1298.62,1314.02,0,0,0,,,
MCX,NSE,380,,,,sell,cash,711133aed4a9d240d47ba3051003c8cc,1319.01,2022-08-12,09:16:17,1313.0,2022-08-12,09:28:59,2,1313.0,1319.01,0,0,0,,,
BOSCHLTD,NSE,40,,,,sell,cash,fb8b7427f79c9db49ca7fe125a7ead44,15686.3,2022-07-04,09:15:18,15714.25,2022-07-04,09:21:14,2,15714.25,15686.3,0,0,0,,,
BOSCHLTD,NSE,15,,,,buy,cash,fd4be7bd6f1746fdf739e2661d9423b7,17582.0,2022-08-02,09:15:59,17739.0,2022-08-02,09:24:17,2,17582.0,17739.0,0,0,0,,,
MANAPPURAM,NSE,625,,,,buy,cash,c0ce540a222bd79269dbec0e5e93d14e,91.15,2022-07-04,10:49:33,90.45,2022-07-04,12:15:49,2,91.15,90.45,0,0,0,,,
SIEMENS,NSE,130,,,,sell,cash,e622a1f1444cbbca8bdb31eeed467768,2655.0,2022-07-07,09:07:21,2643.35,2022-07-07,09:49:00,2,2643.35,2655.0,0,0,0,,,
NAM-INDIA,NSE,500,,,,sell,cash,27cff571ce88412b8741d454a38230e0,299.77,2022-07-11,13:16:07,301.0,2022-07-11,13:18:52,2,301.0,299.77,0,0,0,,,
NAM-INDIA,NSE,1000,,,,sell,cash,4801b39d008824f55a3b00844189af8e,297.74,2022-07-11,13:45:29,299.9,2022-07-11,15:18:43,2,299.9,297.74,0,0,0,,,
NAM-INDIA,NSE,250,,,,buy,cash,6b159b83226be87467ab36d1cc69e13b,317.3,2022-08-24,10:04:32,317.6,2022-08-24,10:24:40,2,317.3,317.6,0,0,0,,,
SYNGENE,NSE,370,,,,sell,cash,f4e5cf08a7863c3d7bc7cfcd63f152dc,595.0,2022-07-14,09:07:06,601.76,2022-07-14,09:25:45,2,601.76,595.0,0,0,0,,,
PERSISTENT,NSE,59,,,,sell,cash,29e01d35dad12afaf62dd1826dc7a76b,3515.0,2022-07-21,09:07:40,3471.0,2022-07-21,09:17:28,2,3471.0,3515.0,0,0,0,,,
PERSISTENT,NSE,22,,,,sell,cash,b035a5e6986d720cdd9cadc489c1e009,3552.61,2022-07-21,09:54:18,3570.97,2022-07-21,10:17:54,2,3570.97,3552.61,0,0,0,,,
PERSISTENT,NSE,50,,,,buy,cash,3c5dd4410e8d6f65a6bc65261e4ada9c,3492.0,2022-10-06,10:50:44,3508.0,2022-10-06,11:05:14,2,3492.0,3508.0,0,0,0,,,
AARTIIND,NSE,350,,,,sell,cash,0b8556c3e6f1bbbf88a8c4590492eef5,781.2,2022-07-22,09:07:52,771.55,2022-07-22,09:40:50,2,771.55,781.2,0,0,0,,,
AARTIIND,NSE,1,,,,sell,cash,23de0eab17691cf3653909638a55f372,766.4,2022-07-22,12:05:25,767.05,2022-07-22,12:06:04,2,767.05,766.4,0,0,0,,,
AARTIIND,NSE,340,,,,buy,cash,d365ccdc3abfbb28157657332d5b630d,819.8,2022-08-10,09:34:41,815.0,2022-08-10,09:49:09,2,819.8,815.0,0,0,0,,,
RAIN,NSE,700,,,,sell,cash,75e5db21c46a1dff0bde7df2398d3435,162.05,2022-07-25,09:07:20,162.35,2022-07-25,09:36:14,2,162.35,162.05,0,0,0,,,
RAIN,NSE,900,,,,sell,cash,f250e7d65bc1de5908c53ac06a52881e,182.8,2022-08-01,09:07:51,180.98,2022-08-01,09:20:39,2,180.98,182.8,0,0,0,,,
RAMCOCEM,NSE,444,,,,sell,cash,9b40e79e9f08273c88577824e31c7865,700.0,2022-07-25,09:07:20,692.4,2022-07-25,09:15:29,2,692.4,700.0,0,0,0,,,
GSPL,NSE,450,,,,sell,cash,daf04d31661731a4066c4b21361e7ee8,239.7,2022-07-25,09:15:00,237.25,2022-07-25,09:17:26,2,237.25,239.7,0,0,0,,,
GSPL,NSE,2150,,,,sell,cash,01c0afa44efbca6c4478e4f0e18e1f6f,235.8,2022-08-12,09:16:38,237.74,2022-08-12,09:19:44,2,237.74,235.8,0,0,0,,,
GSPL,NSE,1500,,,,sell,cash,0aea8c71622fc23533dca1847089e4ac,249.5,2022-08-16,09:17:32,247.47,2022-08-16,09:35:39,3,247.47,249.5,0,0,0,,,
DELTACORP,NSE,400,,,,sell,cash,61667b86e2876c93033f7c37ed42890d,193.64,2022-07-26,10:18:19,192.57,2022-07-26,10:47:35,2,192.57,193.64,0,0,0,,,
DELTACORP,NSE,100,,,,sell,cash,f057b3d23a2c401715359aa27ba53ce3,215.1,2022-08-24,10:54:58,214.8,2022-08-24,11:11:51,2,214.8,215.1,0,0,0,,,
DELTACORP,NSE,420,,,,sell,cash,82fb8cf90628f6e1ec5584af0d9f4a4d,215.54,2022-09-02,10:27:43,214.4,2022-09-02,12:04:48,5,214.4,215.54,0,0,0,,,
SPANDANA,NSE,200,,,,buy,cash,388e67b07880539f818e9ad2355a9e4d,445.67,2022-07-28,10:11:34,442.0,2022-07-28,10:20:56,2,445.67,442.0,0,0,0,,,
BHARATFORG,NSE,380,,,,sell,cash,0ec38fc407f647304879d39ec9552b47,737.2,2022-07-29,09:07:23,739.3,2022-07-29,09:36:21,2,739.3,737.2,0,0,0,,,
BHARATFORG,NSE,1,,,,buy,cash,8878aead65618275cf001013a2ec686b,735.0,2022-07-29,13:51:57,735.35,2022-07-29,13:52:47,2,735.0,735.35,0,0,0,,,
POLYCAB,NSE,120,,,,sell,cash,2506936c61171be87756ad372b2bcdcf,2294.0,2022-07-29,09:07:23,2320.6,2022-07-29,09:27:15,2,2320.6,2294.0,0,0,0,,,
POLYCAB,NSE,155,,,,sell,cash,eddc411a718adc171db36b4de0365577,2446.05,2022-08-11,09:07:02,2429.15,2022-08-11,09:45:57,2,2429.15,2446.05,0,0,0,,,
BATAINDIA,NSE,90,,,,sell,cash,f87eafb1eb777f6946b7cc390067689f,1977.95,2022-08-01,09:07:51,1960.19,2022-08-01,09:23:18,2,1960.19,1977.95,0,0,0,,,
BATAINDIA,NSE,75,,,,sell,cash,2574935dce06830465eec489c237c08b,1969.0,2022-08-01,09:24:36,1954.15,2022-08-01,10:43:01,2,1954.15,1969.0,0,0,0,,,
BATAINDIA,NSE,82,,,,buy,cash,b36ba17ddf069502a1148e330c243312,1918.0,2022-08-04,09:29:25,1905.5,2022-08-04,11:30:37,2,1918.0,1905.5,0,0,0,,,
BATAINDIA,NSE,130,,,,sell,cash,2abf9ef17e9c84349982f017486cd7c2,1971.25,2022-08-17,09:07:13,1955.0,2022-08-17,09:22:43,2,1955.0,1971.25,0,0,0,,,
BATAINDIA,NSE,5,,,,sell,cash,6708829b117dce347e78190753de3d04,1971.5,2022-09-13,10:42:11,1948.75,2022-09-13,11:41:25,2,1948.75,1971.5,0,0,0,,,
TATASTEEL,NSE,1400,,,,sell,cash,e81d4a233cf892bc7e522de04966d057,110.5,2022-08-01,09:07:51,111.35,2022-08-01,09:16:24,2,111.35,110.5,0,0,0,,,
TATASTEEL,NSE,500,,,,sell,cash,b9a7366417e403d697a9458d8e26000b,112.0,2022-08-12,09:51:16,111.15,2022-08-12,10:29:44,2,111.15,112.0,0,0,0,,,
TATASTEEL,NSE,300,,,,buy,cash,178b54143287c18f7ad554ab7700443b,104.7,2022-08-29,10:45:13,104.6,2022-08-29,10:46:43,2,104.7,104.6,0,0,0,,,
EICHERMOT,NSE,28,,,,sell,cash,698ff6437f507222d06bc369db319b04,3001.0,2022-08-02,09:32:33,3025.0,2022-08-02,09:33:58,2,3025.0,3001.0,0,0,0,,,
EICHERMOT,NSE,150,,,,buy,cash,56b16c3567cbee473281f4715d47c493,3265.0,2022-08-29,09:16:02,3291.0,2022-08-29,09:21:13,2,3265.0,3291.0,0,0,0,,,
LAURUSLABS,NSE,428,,,,sell,cash,f148b8bf19fc609c6a85033c0fb3132d,546.55,2022-08-05,09:07:55,550.85,2022-08-05,09:23:30,2,550.85,546.55,0,0,0,,,
NAVINFLUOR,NSE,55,,,,sell,cash,c80ec839ca0abb4fd4af256a8b58c973,4497.0,2022-08-08,09:07:18,4453.0,2022-08-08,10:01:37,3,4453.0,4497.0,0,0,0,,,
NAVINFLUOR,NSE,55,,,,buy,cash,de8f1037a9f4c1ab59036d245081b3b5,4503.5,2022-08-08,10:29:34,4455.53,2022-08-08,15:20:57,2,4503.5,4455.53,0,0,0,,,
TATAMTRDVR,NSE,42,,,,sell,cash,19bdf0c3839b678f7db5102b2a900b85,226.7,2022-08-08,09:24:31,0.0,2022-08-08,09:24:31,1,0.0,226.7,1,0,0,,,
MGL,NSE,303,,,,sell,cash,d4c53eaaf7c46210f4bab0af3f50606b,817.0,2022-08-08,09:27:44,822.0,2022-08-08,09:29:12,2,822.0,817.0,0,0,0,,,
MGL,NSE,612,,,,sell,cash,c63033ef5e824bd6a86e9c709e74f49a,822.0,2022-08-10,09:07:49,814.3,2022-08-10,09:16:29,3,814.3,822.0,0,0,0,,,
MGL,NSE,288,,,,sell,cash,bb3df0b448cfb0b78b4c889f74609c6e,848.1,2022-08-11,09:38:16,853.25,2022-08-11,10:06:16,2,853.25,848.1,0,0,0,,,
MGL,NSE,70,,,,sell,cash,1410e9fa217a60efe45995e902ee0901,904.14,2022-08-17,10:21:57,909.0,2022-08-17,10:44:24,2,909.0,904.14,0,0,0,,,
HINDPETRO,NSE,1000,,,,sell,cash,dc5ce95ad717e5abf77dd3227bf9eb1f,236.65,2022-08-08,09:31:43,238.25,2022-08-08,09:41:53,2,238.25,236.65,0,0,0,,,
HINDPETRO,NSE,330,,,,sell,cash,f0b5a2e24fa37f32e73bd2af70e93046,252.57,2022-09-08,12:01:57,250.4,2022-09-08,12:58:11,3,250.4,252.57,0,0,0,,,
TATACHEM,NSE,220,,,,buy,cash,53305a499cf95ee4205565c3703fa5bc,1027.63,2022-08-10,09:28:26,1021.5,2022-08-10,09:32:00,2,1027.63,1021.5,0,0,0,,,
TATACHEM,NSE,200,,,,buy,cash,6a125a7e3cd278424b565a45ad18343f,1037.3,2022-08-10,10:58:43,1042.92,2022-08-10,11:16:10,3,1037.3,1042.92,0,0,0,,,
TATACHEM,NSE,70,,,,buy,cash,2ca41df5b691cb1b0fa722114edeb1f3,1154.6,2022-08-19,09:31:57,1163.62,2022-08-19,09:40:17,4,1154.6,1163.62,0,0,0,,,
TATACHEM,NSE,45,,,,sell,cash,b48ba82b601a112972b9bb6dd2177b79,1170.7,2022-08-19,09:41:27,1180.0,2022-08-19,09:49:10,3,1180.0,1170.7,0,0,0,,,
TATACHEM,NSE,20,,,,sell,cash,65b3363f8f005b57d47db3564d3db415,1184.55,2022-09-13,10:28:36,1182.6,2022-09-13,10:31:42,2,1182.6,1184.55,0,0,0,,,
